userId,genre
1,Action
2,Drama
3,Drama
4,Drama
5,Drama
6,Drama
7,Action
8,Comedy
9,Drama
10,Comedy
11,Action
12,Romance
13,Drama
14,Drama
15,Action
16,Drama
17,Drama
18,Drama
19,Comedy
20,Children
21,Action
22,Drama
23,Drama
24,Action
25,Action
26,Thriller
27,Adventure
28,Drama
29,Drama
30,Action
31,Comedy
32,Drama
33,Drama
34,Action
35,Comedy
36,Drama
37,Thriller
38,Comedy
39,Drama
40,Drama
41,Drama
42,Comedy
43,Comedy
44,Comedy
45,Comedy
46,Action
47,Drama
48,Action
49,Drama
50,Drama
51,Comedy
52,Action
53,Drama
54,Drama
55,Drama
56,Action
57,Comedy
58,Drama
59,Drama
60,Drama
61,Drama
62,Action
63,Comedy
64,Drama
65,Drama
66,Drama
67,Action
68,Comedy
69,Drama
70,Drama
71,Action
72,Drama
73,Comedy
74,Drama
75,Action
76,Drama
77,Action
78,Action
79,Action
80,Thriller
81,Action
82,Action
83,Drama
84,Drama
85,Drama
86,Action
87,Drama
88,Drama
89,Comedy
90,Drama
91,Action
92,Drama
93,Adventure
94,Comedy
95,Drama
96,Action
97,Action
98,Drama
99,Comedy
100,Comedy
101,Comedy
102,Action
103,Drama
104,Comedy
105,Drama
106,Adventure
107,Drama
108,Drama
109,Drama
110,Drama
111,Comedy
112,Action
113,Drama
114,Adventure
115,Comedy
116,Drama
117,Drama
118,Drama
119,Action
120,Comedy
121,Drama
122,Comedy
123,Drama
124,Drama
125,Drama
126,Drama
127,Drama
128,Drama
129,Action
130,Drama
131,Drama
132,Drama
133,Thriller
134,Action
135,Comedy
136,Comedy
137,Drama
138,Drama
139,Action
140,Drama
141,Comedy
142,Thriller
143,Comedy
144,Comedy
145,Adventure
146,Comedy
147,Comedy
148,Adventure
149,Sci-Fi
150,Thriller
151,Comedy
152,Drama
153,Drama
154,Action
155,Comedy
156,Drama
157,Comedy
158,Comedy
159,Drama
160,Action
161,Comedy
162,Drama
163,Comedy
164,Action
165,Drama
166,Action
167,Comedy
168,Drama
169,Comedy
170,Drama
171,Drama
172,Adventure
173,Comedy
174,Comedy
175,Drama
176,Action
177,Comedy
178,Drama
179,Comedy
180,Action
181,Comedy
182,Drama
183,Action
184,Action
185,Drama
186,Adventure
187,Drama
188,Comedy
189,Drama
190,Drama
191,Drama
192,Thriller
193,Drama
194,Comedy
195,Drama
196,Drama
197,Drama
198,Drama
199,Drama
200,Comedy
201,Comedy
202,Drama
203,Action
204,Drama
205,Adventure
206,Drama
207,Thriller
208,Action
209,Drama
210,Adventure
211,Action
212,Action
213,Action
214,Drama
215,Drama
216,Comedy
217,Comedy
218,Comedy
219,Action
220,Action
221,Drama
222,Drama
223,Drama
224,Comedy
225,Comedy
226,Comedy
227,Drama
228,Action
229,Comedy
230,Action
231,Action
232,Comedy
233,Drama
234,Adventure
235,Drama
236,Comedy
237,Drama
238,Drama
239,Action
240,Comedy
241,Drama
242,Thriller
243,Action
244,Action
245,Drama
246,Drama
247,Drama
248,Adventure
249,Action
250,Drama
251,Drama
252,Comedy
253,Drama
254,Drama
255,Comedy
256,Comedy
257,Comedy
258,Drama
259,Comedy
260,Drama
261,Drama
262,Drama
263,Drama
264,Adventure
265,Drama
266,Comedy
267,Action
268,Drama
269,Thriller
270,Comedy
271,Drama
272,Action
273,Comedy
274,Comedy
275,Drama
276,Comedy
277,Comedy
278,Comedy
279,Action
280,Comedy
281,Comedy
282,Drama
283,Comedy
284,Comedy
285,Drama
286,Drama
287,Comedy
288,Comedy
289,Comedy
290,Drama
291,Adventure
292,Action
293,Comedy
294,Comedy
295,Drama
296,Drama
297,Thriller
298,Comedy
299,Action
300,Drama
301,Drama
302,Thriller
303,Sci-Fi
304,Action
305,Drama
306,Comedy
307,Comedy
308,Drama
309,Drama
310,Comedy
311,Drama
312,Drama
313,Action
314,Action
315,Drama
316,Comedy
317,Drama
318,Drama
319,Drama
320,Action
321,Comedy
322,Drama
323,Drama
324,Drama
325,Drama
326,Drama
327,Comedy
328,Comedy
329,Crime
330,Drama
331,Drama
332,Drama
333,Comedy
334,Comedy
335,Comedy
336,Drama
337,Drama
338,Drama
339,Drama
340,Action
341,Comedy
342,Comedy
343,Drama
344,Action
345,Drama
346,Drama
347,Comedy
348,Drama
349,Drama
350,Comedy
351,Drama
352,Drama
353,Comedy
354,Action
355,Comedy
356,Comedy
357,Drama
358,Romance
359,Drama
360,Thriller
361,Action
362,Drama
363,Action
364,Thriller
365,Comedy
366,Action
367,Comedy
368,Action
369,Comedy
370,Action
371,Adventure
372,Drama
373,Drama
374,Thriller
375,Drama
376,Action
377,Comedy
378,Drama
379,Drama
380,Action
381,Comedy
382,Action
383,Drama
384,Drama
385,Drama
386,Action
387,Drama
388,Comedy
389,Thriller
390,Drama
391,Drama
392,Drama
393,Action
394,Action
395,Adventure
396,Comedy
397,Drama
398,Drama
399,Action
400,Drama
401,Animation
402,Thriller
403,Drama
404,Drama
405,Drama
406,Comedy
407,Action
408,Action
409,Comedy
410,Drama
411,Drama
412,Comedy
413,Drama
414,Drama
415,Drama
416,Drama
417,Drama
418,Drama
419,Drama
420,Comedy
421,Drama
422,Drama
423,Action
424,Drama
425,Drama
426,Comedy
427,Drama
428,Action
429,Drama
430,Drama
431,Comedy
432,Drama
433,Drama
434,Drama
435,Drama
436,Comedy
437,Drama
438,Action
439,Action
440,Drama
441,Action
442,Drama
443,Drama
444,Drama
445,Drama
446,Drama
447,Action
448,Comedy
449,Comedy
450,Drama
451,Thriller
452,Action
453,Comedy
454,Drama
455,Drama
456,Comedy
457,Action
458,Drama
459,Adventure
460,Drama
461,Drama
462,Drama
463,Action
464,Action
465,Thriller
466,Action
467,Drama
468,Thriller
469,Drama
470,Drama
471,Comedy
472,Drama
473,Drama
474,Drama
475,Adventure
476,Drama
477,Comedy
478,Comedy
479,Comedy
480,Drama
481,Drama
482,Action
483,Comedy
484,Comedy
485,Action
486,Action
487,Drama
488,Comedy
489,Comedy
490,Drama
491,Comedy
492,Comedy
493,Action
494,Action
495,Drama
496,Drama
497,Drama
498,Thriller
499,Drama
500,Comedy
501,Thriller
502,Drama
503,Drama
504,Drama
505,Horror
506,Drama
507,Drama
508,Comedy
509,Comedy
510,Drama
511,Drama
512,Drama
513,Drama
514,Comedy
515,Action
516,Comedy
517,Comedy
518,Drama
519,Comedy
520,Comedy
521,Drama
522,Drama
523,Drama
524,Action
525,Comedy
526,Drama
527,Adventure
528,Drama
529,Comedy
530,Drama
531,Adventure
532,Action
533,Horror
534,Action
535,Comedy
536,Drama
537,Drama
538,Comedy
539,Comedy
540,Action
541,Comedy
542,Comedy
543,Comedy
544,Drama
545,Thriller
546,Horror
547,Drama
548,Drama
549,Action
550,Action
551,Action
552,Comedy
553,Drama
554,Drama
555,Comedy
556,Adventure
557,Adventure
558,Drama
559,Comedy
560,Drama
561,Action
562,Drama
563,Comedy
564,Comedy
565,Comedy
566,Drama
567,Adventure
568,Drama
569,Action
570,Drama
571,Horror
572,Drama
573,Action
574,Thriller
575,Comedy
576,Comedy
577,Drama
578,Drama
579,Drama
580,Drama
581,Drama
582,Action
583,Comedy
584,Comedy
585,Drama
586,Adventure
587,Comedy
588,Drama
589,Drama
590,Drama
591,Drama
592,Action
593,Drama
594,Comedy
595,Drama
596,Action
597,Comedy
598,Romance
599,Drama
600,Comedy
601,Drama
602,Drama
603,Drama
604,Drama
605,Fantasy
606,Drama
607,Drama
608,Comedy
609,Drama
610,Action
